Epoch,Loss,Recall,NDCG,Training Time
0,84.42071160674095,0.04203355312347412,0.2412394881248474,11.10802936553955
1,58.07872357964516,0.06339634209871292,0.31075921654701233,10.77211856842041
2,51.683362901210785,0.08008632063865662,0.356948584318161,10.664651870727539
3,47.55955547094345,0.0990348681807518,0.3999432623386383,10.77975082397461
4,45.66385243833065,0.11564172059297562,0.45462021231651306,11.105885744094849
5,43.847712859511375,0.13121837377548218,0.49381783604621887,10.79251766204834
6,43.114594623446465,0.1448819786310196,0.5216544270515442,10.823879957199097
7,41.49537272751331,0.15495628118515015,0.5515983700752258,10.91683292388916
8,40.006833136081696,0.1609877496957779,0.5640389919281006,10.778805494308472
9,38.706091836094856,0.16826209425926208,0.5756769776344299,10.698171854019165
10,37.88345529139042,0.17104411125183105,0.5839352607727051,10.765400409698486
11,36.48124726116657,0.17635861039161682,0.5952193737030029,10.984874963760376
12,35.64420348405838,0.17927992343902588,0.6067675948143005,10.892584562301636
13,34.61310702562332,0.18378512561321259,0.60929936170578,11.249003887176514
14,33.7399540245533,0.18498937785625458,0.6081809997558594,10.82599949836731
15,33.191473454236984,0.18837682902812958,0.6152914762496948,10.76265835762024
16,32.36205393075943,0.18992166221141815,0.6204013228416443,10.840267181396484
17,31.53545333445072,0.18999068439006805,0.620220959186554,10.775286197662354
18,31.042768225073814,0.19342119991779327,0.6224125623703003,10.578449010848999
19,30.597854420542717,0.19464066624641418,0.6316670179367065,10.709079027175903
20,30.167138531804085,0.1958429366350174,0.6293109059333801,11.042882919311523
21,30.063542515039444,0.19673152267932892,0.6321041584014893,10.656519889831543
22,29.405981481075287,0.19637243449687958,0.6332782506942749,10.852932691574097
23,29.198742389678955,0.19832241535186768,0.6365931034088135,10.819455862045288
24,28.56037835776806,0.2007836103439331,0.6397403478622437,11.019137620925903
25,28.216135650873184,0.20040813088417053,0.6415614485740662,11.506817102432251
26,27.785134330391884,0.19596341252326965,0.6407932639122009,12.130224227905273
27,27.68146301805973,0.20031774044036865,0.6447570323944092,11.729612827301025
28,27.201136514544487,0.20208358764648438,0.6440593004226685,11.38622522354126
29,26.75565940886736,0.20470283925533295,0.646872341632843,11.442105531692505
30,26.381066024303436,0.20327876508235931,0.6453974843025208,10.910972118377686
31,26.105904787778854,0.20372560620307922,0.6444973349571228,10.993466138839722
32,25.436661198735237,0.20377826690673828,0.6476665139198303,10.836268663406372
33,25.313601478934288,0.20358744263648987,0.6493449211120605,10.68382740020752
34,25.1926551759243,0.2063923478126526,0.6487236022949219,10.793499946594238
35,24.680332846939564,0.21144680678844452,0.6539421677589417,10.772618770599365
36,24.54321714490652,0.21013319492340088,0.6537870168685913,10.701503992080688
37,24.129886716604233,0.20941349864006042,0.6541195511817932,10.709621667861938
38,24.338204629719257,0.21024064719676971,0.6576612591743469,13.235219478607178
39,23.651855386793613,0.212355375289917,0.6592297554016113,12.544914960861206
40,23.34270553290844,0.21325796842575073,0.6647999882698059,12.362543106079102
41,23.213109344244003,0.21539583802223206,0.658988893032074,12.440298557281494
42,22.823974661529064,0.2172742784023285,0.6624159216880798,14.749202013015747
43,22.787404887378216,0.21702301502227783,0.660929799079895,13.486158847808838
44,22.07683053612709,0.21680225431919098,0.6623239517211914,13.602131128311157
45,22.396140784025192,0.21637597680091858,0.6673969626426697,12.618855476379395
46,22.23041643202305,0.22013357281684875,0.6709800958633423,13.290241718292236
47,21.67903233319521,0.22014378011226654,0.6714532971382141,13.567372798919678
48,21.95745349675417,0.2199329435825348,0.6706626415252686,13.17976713180542
49,21.225749857723713,0.21977384388446808,0.6690297722816467,14.144084453582764
50,21.183682277798653,0.22181867063045502,0.6737415790557861,13.451554536819458
51,21.15316414833069,0.22148998081684113,0.6716062426567078,12.993698120117188
52,20.936583168804646,0.21941359341144562,0.6684231758117676,12.515540361404419
53,20.821250580251217,0.22129768133163452,0.6720187067985535,13.057424068450928
54,20.383219189941883,0.21652504801750183,0.6708847880363464,12.536235332489014
55,20.530279278755188,0.21742689609527588,0.6704990863800049,12.735473394393921
