Epoch,loss,Recall,NDCG,Precision,hit_ratio,training time,batch size,lr
0,275.6515968,0.124510042,0.342534572,0.097667009,0.72216332,34.35187554,128,0.0005
1,195.2346733,0.178073481,0.444585979,0.13875927,0.817603409,34.75949645,128,0.0005
2,177.6825633,0.225896835,0.51878655,0.17348884,0.873807013,34.96678686,128,0.0005
3,166.3895128,0.257537603,0.565749049,0.202492043,0.901378572,34.82230306,128,0.0005
4,153.1196484,0.2734842,0.593990266,0.220042408,0.916224837,34.69559741,128,0.0005
5,144.3261925,0.283975244,0.609493196,0.229215264,0.927889705,34.49222589,128,0.0005
6,137.3315778,0.290163994,0.61601454,0.235312834,0.930010617,33.96631837,128,0.0005
7,130.7821621,0.296031713,0.61942631,0.240349919,0.930010617,34.74539876,128,0.0005
8,124.9178329,0.300647765,0.626240015,0.243796408,0.930010617,33.83742261,128,0.0005
9,119.3137458,0.305730492,0.633218169,0.246500522,0.93743372,34.16768098,128,0.0005
10,115.8696919,0.308570355,0.633605659,0.249098614,0.936373293,34.37837076,128,0.0005
11,111.0832861,0.307959199,0.634435713,0.250848353,0.930010617,35.15908265,128,0.0005
12,109.8082501,0.312226892,0.640897155,0.252332985,0.940615058,36.5830884,128,0.0005
13,106.9815165,0.317534,0.649255931,0.255726397,0.943796396,40.05182552,128,0.0005
14,102.4792856,0.319832742,0.649446964,0.25752914,0.939554632,39.53787541,128,0.0005
15,99.62207412,0.32233417,0.650177062,0.259331912,0.943796396,37.86082244,128,0.0005
16,99.1753158,0.328041315,0.654850662,0.261028647,0.946977735,37.42003226,128,0.0005
17,95.0071673,0.323872089,0.65761131,0.260074228,0.945917308,36.97408915,128,0.0005
18,93.79277297,0.32552126,0.657734871,0.261399776,0.945917308,37.14870191,128,0.0005
19,91.44424638,0.328321815,0.660139561,0.263573676,0.941675484,36.72502089,128,0.0005
20,89.97998284,0.330820203,0.659333467,0.264475048,0.952279985,36.82297373,128,0.0005
21,87.92509893,0.325236082,0.66153872,0.263043493,0.951219499,37.35386443,128,0.0005
22,86.24440991,0.328461945,0.66361922,0.26314953,0.951219499,35.79104733,128,0.0005
23,87.20677556,0.326805174,0.663137436,0.265800625,0.944856822,36.47098565,128,0.0005
24,84.75302728,0.329654187,0.659319043,0.266436934,0.945917308,36.37862778,128,0.0005
25,82.19306307,0.330780387,0.661753654,0.265588552,0.94273597,36.57419801,128,0.0005
0,146.810421,0.102656089,0.321110934,0.095493108,0.67020148,21.11996841,256,0.0005
1,111.0878189,0.161646932,0.39232564,0.11458113,0.780487776,20.35991788,256,0.0005
2,99.86817417,0.191096768,0.470054775,0.137433708,0.843054056,20.49800515,256,0.0005
3,90.65520233,0.211358294,0.509271145,0.158589616,0.874867439,20.28972626,256,0.0005
4,84.58464472,0.238976583,0.544392467,0.182131499,0.888653219,20.20817733,256,0.0005
5,80.32827137,0.253993958,0.56631434,0.198674455,0.895015895,19.95615149,256,0.0005
6,76.16223226,0.26495716,0.577827215,0.211399794,0.909862161,20.13656998,256,0.0005
7,73.2535146,0.271377802,0.594071805,0.220201492,0.913043499,20.74117637,256,0.0005
8,70.41300252,0.276732951,0.59911114,0.225927874,0.916224837,23.79672718,256,0.0005
9,68.9293523,0.28021273,0.604361355,0.229427367,0.920466602,22.75935578,256,0.0005
10,66.890378,0.28310886,0.606517971,0.231336161,0.92364794,19.34393024,256,0.0005
11,64.23179671,0.28592205,0.611661732,0.23340404,0.921527028,19.21984982,256,0.0005
12,62.99313307,0.290721118,0.617743254,0.235365853,0.931071043,19.49770045,256,0.0005
13,61.31844507,0.295776755,0.623614609,0.238123029,0.936373293,20.16609645,256,0.0005
14,59.24337199,0.298486829,0.625588953,0.239766687,0.93743372,19.76937103,256,0.0005
15,57.97879216,0.30058682,0.629560292,0.240562037,0.935312808,20.44274974,256,0.0005
16,57.84149761,0.30090639,0.62789017,0.242364779,0.933191955,19.888551,256,0.0005
17,55.32646845,0.303269893,0.632445395,0.244273603,0.93743372,19.66244435,256,0.0005
18,55.59824736,0.307118148,0.633188963,0.245811224,0.933191955,25.33604956,256,0.0005
19,53.31875986,0.309235632,0.633342564,0.248462364,0.931071043,26.16676617,256,0.0005
20,53.26130924,0.309716791,0.635324299,0.248886511,0.935312808,25.76047802,256,0.0005
21,52.85488151,0.310898364,0.637717187,0.24952282,0.93743372,24.79699278,256,0.0005
