Epoch,loss,recall,ndcg,precision,hit_ratio,training time,k
39,2.634426683,0.158158705,0.544553161,0.239236489,0.812301159,4.202288151,10
40,2.637761623,0.15904066,0.545998633,0.24093321,0.818663836,4.245617151,10
41,2.589585572,0.155982807,0.541968822,0.239766702,0.809119821,4.255699635,10
42,2.593465418,0.158317402,0.545734942,0.243372217,0.818663836,4.26789093,10
43,2.574059486,0.159964219,0.54562664,0.243690342,0.817603409,4.193777323,10
44,2.58900547,0.163186699,0.547174096,0.246235415,0.815482497,4.238047361,10
45,2.559322134,0.164974257,0.551340222,0.248992592,0.82820785,4.293684483,10
46,2.516049922,0.163755357,0.549883485,0.252386004,0.821845174,4.2730937,10
47,2.521029741,0.166602537,0.552077591,0.25344643,0.826086938,4.297464132,10
48,2.495877668,0.168549791,0.552522182,0.252279997,0.820784748,4.224760056,10
49,2.48556231,0.171374515,0.566037059,0.259490997,0.825026512,4.235590219,10
50,2.469099224,0.173539117,0.569552302,0.260127246,0.831389189,4.301416397,10
51,2.453226432,0.173173666,0.570275903,0.2597031,0.832449615,4.256826162,10
52,2.446778387,0.172730118,0.565763593,0.26002121,0.827147424,4.254293203,10
53,2.438134924,0.176457167,0.580939114,0.263944864,0.838812292,4.281892538,10
54,2.403901979,0.177092999,0.57548368,0.266595989,0.834570527,4.282545805,10
55,2.389404312,0.177888468,0.572217703,0.267232239,0.833510101,4.223813772,10
56,2.374648243,0.178784132,0.582728028,0.269565225,0.840933204,4.246640682,10
57,2.36165531,0.178627059,0.583301246,0.268822908,0.837751865,4.272988081,10
58,2.360021114,0.179822162,0.582693815,0.268610805,0.838812292,4.229346275,10
59,2.322554722,0.179746255,0.584855437,0.267126173,0.839872718,4.235076189,10
60,2.344800994,0.181134939,0.585900486,0.27189821,0.837751865,4.244188309,10
61,2.326515347,0.180038527,0.577257514,0.271474004,0.834570527,4.23322773,10
62,2.313628942,0.180763841,0.588464379,0.272322357,0.846235394,4.248818874,10
63,2.319734201,0.182438374,0.592015564,0.274337232,0.849416733,4.205484152,10
64,2.284228802,0.183383837,0.590331614,0.275715798,0.845174968,4.229559422,10
65,2.283231989,0.18151401,0.593098998,0.273594916,0.850477219,4.247297764,10
66,2.268569171,0.181598306,0.585963547,0.275079548,0.846235394,4.314541101,10
67,2.259138316,0.184990332,0.598729312,0.27942735,0.853658557,4.280270576,10
68,2.258284256,0.181224912,0.592891157,0.276670218,0.851537645,4.253955364,10
69,2.238363847,0.184977472,0.596602082,0.281548262,0.853658557,4.332481861,10
70,2.206439674,0.183433205,0.596912801,0.279639453,0.856839895,4.253309011,10
71,2.199905455,0.183273315,0.600031555,0.280275702,0.850477219,4.247454166,10
72,2.205358535,0.187148869,0.60165,0.28409332,0.853658557,4.281919003,10
73,2.173809692,0.185346097,0.602764785,0.283457041,0.854718983,4.306437731,10
74,2.174168169,0.183493197,0.598039567,0.281124085,0.848356307,4.35166955,10
75,2.188777819,0.185163945,0.604812205,0.282396585,0.855779409,4.286621809,10
76,2.16604194,0.186573789,0.607181311,0.283032864,0.856839895,4.255642414,10
77,2.159845725,0.185295805,0.60229665,0.284835637,0.852598071,4.229031563,10
0,6.903787553,0.023293735,0.157605559,0.043160129,0.35418877,4.401334286,20
1,6.840326965,0.024664976,0.161982983,0.045068927,0.365853667,4.247274637,20
2,6.732372403,0.026478905,0.16696173,0.048250265,0.371155888,4.47508502,20
3,6.503508806,0.031981356,0.183359206,0.055673383,0.399787903,4.610050678,20
4,6.006534874,0.039709948,0.201664567,0.059225872,0.443266183,5.19375658,20
5,5.294585586,0.050956849,0.225290895,0.061505832,0.517497361,5.959254026,20
6,4.768210471,0.076218553,0.264958858,0.071686104,0.61293745,5.472950459,20
7,4.520810425,0.085414946,0.277948886,0.078048781,0.638388097,5.586907148,20
8,4.300392807,0.089467049,0.280424595,0.078685053,0.647932112,5.864522219,20
9,4.150326967,0.092622481,0.284824073,0.080540828,0.663838804,5.109740019,20
10,4.006467551,0.095588855,0.291663706,0.082661726,0.668080568,4.976347208,20
11,3.892325521,0.100856915,0.297532231,0.08425238,0.680805922,4.995333672,20
12,3.76868248,0.104302995,0.308723509,0.087433726,0.693531275,5.010514498,20
13,3.675490946,0.110457048,0.320301324,0.093425237,0.709437966,4.646123171,20
14,3.565281123,0.115034766,0.332116932,0.097030751,0.718981981,4.137774944,20
15,3.495427251,0.122716941,0.339575589,0.101325557,0.738070011,3.905041456,20
16,3.420125186,0.129315808,0.346608192,0.106733821,0.750795305,3.946668625,20
17,3.370168507,0.134526804,0.352283239,0.110392362,0.752916217,3.95231986,20
18,3.301116437,0.140243769,0.367543191,0.117232241,0.76564157,3.624996901,20
19,3.253209889,0.144267783,0.380541533,0.121208906,0.772004247,3.65921545,20
20,3.186047643,0.155998483,0.394149959,0.128101811,0.795334041,4.088062286,20
21,3.171678185,0.164175734,0.407338232,0.134199366,0.801696718,4.175506115,20
22,3.086086899,0.167008162,0.416148454,0.137221619,0.809119821,4.345635414,20
23,3.00546065,0.173501506,0.428651482,0.140509009,0.817603409,4.36631012,20
24,2.947552502,0.18065244,0.438420862,0.144644767,0.829268277,4.368858099,20
25,2.921719968,0.186088949,0.451071203,0.149310708,0.839872718,4.412061214,20
26,2.883137912,0.190516219,0.457216024,0.152810186,0.844114542,4.742582083,20
27,2.845866501,0.194224283,0.46617499,0.157794267,0.851537645,4.523575306,20
28,2.830040812,0.1983639,0.473121703,0.161983028,0.854718983,4.212071657,20
29,2.808667004,0.203249723,0.480854571,0.165482506,0.855779409,4.1448493,20
30,2.779725075,0.206111774,0.485325217,0.168080598,0.855779409,4.170842886,20
31,2.752767175,0.212357908,0.493255377,0.172375381,0.864262998,4.123994112,20
32,2.744593859,0.218629614,0.501154184,0.176352054,0.874867439,4.086375713,20
33,2.723596632,0.219593331,0.504627645,0.178419933,0.874867439,4.121823788,20
34,2.695182443,0.223227933,0.509755611,0.181866407,0.878048778,4.163919926,20
35,2.695302576,0.230641797,0.515094221,0.187009528,0.883351028,4.119984627,20
36,2.670667201,0.235248193,0.52260536,0.190031812,0.890774131,4.167524338,20
37,2.645709515,0.235997215,0.527356446,0.191728547,0.886532366,4.228100061,20
38,2.621634156,0.240184009,0.52991581,0.194803819,0.887592793,4.203872442,20
39,2.608094633,0.243581533,0.536957204,0.197507948,0.892895043,4.241175413,20
40,2.584978104,0.248753637,0.542287588,0.201007426,0.902438998,4.164417267,20
41,2.579349488,0.25015986,0.549636245,0.203605503,0.903499484,4.21484375,20
42,2.549548253,0.250987917,0.553711116,0.204931065,0.905620337,4.129952192,20
43,2.515590563,0.254026681,0.557956576,0.207157999,0.905620337,4.18580246,20
44,2.529360458,0.260369569,0.561216056,0.210604459,0.911983013,4.179006338,20
45,2.4882126,0.26304689,0.567109704,0.212407216,0.919406176,4.192209244,20
46,2.482582644,0.264614791,0.569989383,0.213944852,0.921527028,4.208865643,20
47,2.443674132,0.265973568,0.57264787,0.215588555,0.919406176,4.102749348,20
48,2.451161414,0.267959952,0.574486136,0.21744433,0.921527028,4.086620808,20
49,2.406166807,0.270970732,0.578141391,0.218822911,0.920466602,4.205712557,20
50,2.387994051,0.272434503,0.581057012,0.220148459,0.92364794,4.42393136,20
51,2.386104211,0.273748189,0.583269596,0.220519602,0.925768852,4.248562098,20
52,2.352660507,0.275615484,0.586782098,0.22200422,0.925768852,4.094327927,20
53,2.373490721,0.276893854,0.58755827,0.223541871,0.926829278,4.086070538,20
54,2.334386006,0.27857548,0.590684533,0.224443257,0.926829278,4.0721066,20
55,2.331370875,0.280453861,0.592027187,0.224761412,0.928950131,4.490074396,20
56,2.319309622,0.281543016,0.594020545,0.225503743,0.928950131,3.94572401,20
57,2.303176522,0.28194198,0.595996022,0.226352051,0.928950131,3.998545408,20
58,2.277989715,0.283230871,0.596669853,0.22762461,0.927889705,3.971705675,20
59,2.274040163,0.283696443,0.597281277,0.227995753,0.927889705,4.004653692,20
60,2.273692772,0.283236057,0.598581374,0.227200419,0.930010617,3.981148005,20
61,2.243129238,0.285454869,0.598490357,0.228366911,0.931071043,3.952522039,20
62,2.237719938,0.287320346,0.60109359,0.230063617,0.932131469,3.978382111,20
63,2.220450848,0.286705613,0.603137553,0.229957595,0.931071043,3.993710995,20
64,2.185605541,0.288870066,0.603483856,0.23123011,0.931071043,4.026885986,20
65,2.163859069,0.288728088,0.605489612,0.231813341,0.930010617,3.892588615,20
66,2.163165376,0.289944649,0.606801033,0.232926816,0.930010617,3.933460474,20
67,2.166579098,0.290460527,0.608309031,0.23356308,0.928950131,3.950903654,20
68,2.140201718,0.291131675,0.608215392,0.233669132,0.931071043,4.056584597,20
69,2.138922438,0.290976793,0.608938098,0.233775169,0.930010617,3.937160492,20
70,2.126702234,0.29288289,0.611872435,0.235683993,0.932131469,3.919841528,20
71,2.119396776,0.293532848,0.611252666,0.235790044,0.931071043,3.954500675,20
72,2.098216683,0.29351154,0.612979412,0.236532345,0.931071043,4.030145645,20
73,2.092367545,0.295012206,0.614067614,0.237274632,0.931071043,4.051702976,20
74,2.084507003,0.294547826,0.613395274,0.237115592,0.930010617,3.956275463,20
75,2.078225583,0.295476586,0.614564955,0.23780486,0.931071043,4.03212738,20
76,2.042890787,0.2965765,0.614913583,0.238282084,0.932131469,3.988096952,20
77,2.029862359,0.297202051,0.615963697,0.238759279,0.933191955,3.960404634,20
78,2.061418414,0.297647864,0.616451323,0.239713684,0.934252381,3.939459562,20
79,2.04637754,0.298005074,0.619211197,0.24013786,0.934252381,3.997430801,20
80,2.021163687,0.298710436,0.619104803,0.241198301,0.934252381,3.98674798,20
81,2.0098221,0.299318671,0.619356871,0.241198286,0.934252381,3.984000683,20
82,1.989399895,0.301426798,0.621116638,0.242735937,0.93743372,3.994268179,20
83,2.007367119,0.300919145,0.621683478,0.242948025,0.934252381,4.014770985,20
84,1.973405197,0.301848859,0.623534381,0.24342522,0.936373293,4.002013683,20
85,1.995287299,0.302920371,0.624887884,0.24437964,0.936373293,3.996242046,20
86,1.954850465,0.304047346,0.625019073,0.245174989,0.935312808,4.009680033,20
87,1.954281896,0.303065836,0.625293016,0.244432673,0.935312808,4.139802456,20
88,1.933043897,0.302485585,0.625341952,0.244485691,0.934252381,4.032829285,20
89,1.931549251,0.302638143,0.624033272,0.244962901,0.934252381,3.920513153,20
90,1.91898112,0.302163094,0.626360655,0.24453871,0.935312808,4.011268616,20
91,1.917946547,0.303559989,0.628855228,0.244962886,0.938494146,3.85347724,20
0,6.889426291,0.032159645,0.165836528,0.039413225,0.404029697,3.485936403,30
1,6.825934768,0.034666236,0.171908781,0.042099677,0.418875933,3.419433117,30
2,6.716971457,0.03884609,0.179283306,0.044361971,0.439024389,3.528852701,30
3,6.463065088,0.047074247,0.195004135,0.050229769,0.481442213,3.475702286,30
4,5.938118517,0.059982114,0.214985564,0.057051964,0.521739125,3.426832438,30
5,5.187119693,0.090896755,0.261173218,0.066631325,0.639448583,3.498891354,30
6,4.753508806,0.119536191,0.29680407,0.071509369,0.738070011,3.473174334,30
7,4.573671401,0.137776479,0.312051982,0.077306472,0.763520658,3.534625053,30
8,4.408663988,0.142521381,0.328943729,0.08133617,0.790031791,3.671689272,30
9,4.280416906,0.150814921,0.335890263,0.083174273,0.800636292,3.661489487,30
10,4.127629369,0.158212855,0.344713986,0.086355619,0.800636292,3.557212591,30
11,4.004512131,0.166621655,0.355992466,0.091127612,0.813361585,3.564641714,30
12,3.848206222,0.175196022,0.364678651,0.094909862,0.819724262,3.557953358,30
13,3.73351562,0.180820465,0.370711833,0.098020501,0.820784748,3.654051304,30
14,3.618180931,0.190484688,0.380858213,0.104241788,0.829268277,3.725938082,30
15,3.540767789,0.195697665,0.383960992,0.108554281,0.830328763,3.683177948,30
16,3.450844884,0.2051045,0.393388659,0.112336516,0.836691439,3.628277779,30
17,3.3985416,0.21583651,0.40384227,0.117815487,0.84729588,3.799834967,30
18,3.329378694,0.225381806,0.419315934,0.123329811,0.857900321,3.759941578,30
19,3.287147671,0.234395087,0.431821108,0.129091561,0.875927866,3.683247805,30
20,3.25402984,0.241028026,0.441549033,0.13262637,0.881230116,3.634350777,30
21,3.207868665,0.253193259,0.45471254,0.138458818,0.893955469,3.68943119,30
22,3.151003361,0.260248125,0.46108675,0.142629907,0.891834557,3.775729418,30
23,3.109489709,0.270331055,0.472273737,0.14743726,0.900318146,3.705779552,30
24,3.074356198,0.270714432,0.469731361,0.147048444,0.89925766,3.820324659,30
25,3.047584891,0.274050951,0.482203275,0.149946988,0.903499484,3.670963049,30
26,2.982071221,0.284840405,0.491130948,0.155496657,0.913043499,3.797271252,30
27,2.96086207,0.292871565,0.500701427,0.159455642,0.915164351,3.743197918,30
28,2.932121962,0.298503011,0.505441666,0.161541194,0.91834569,3.705751181,30
29,2.898389012,0.305277616,0.516420364,0.16592434,0.932131469,3.674170732,30
30,2.860821694,0.312685519,0.522778749,0.169671267,0.930010617,3.709077597,30
31,2.816079408,0.318368196,0.535307944,0.173983753,0.933191955,3.7519629,30
32,2.787747741,0.319477618,0.536906064,0.174019098,0.932131469,3.874692202,30
33,2.760408342,0.322868377,0.538679004,0.178119466,0.935312808,3.610476971,30
34,2.722306997,0.330635041,0.550540328,0.179674804,0.940615058,3.698563814,30
35,2.701794297,0.335122138,0.556751132,0.180593848,0.940615058,3.751332521,30
36,2.664977163,0.33408311,0.554652572,0.181831047,0.940615058,3.767724037,30
37,2.648296773,0.341162682,0.560587287,0.185507268,0.948038161,3.777671337,30
38,2.647222757,0.34120211,0.557932913,0.185931414,0.948038161,3.742624998,30
39,2.596188694,0.344297886,0.563654184,0.187698856,0.950159073,3.642020702,30
40,2.59767586,0.345426679,0.566944718,0.189042062,0.949098647,3.731002331,30
41,2.551915199,0.345633298,0.569095612,0.189183488,0.949098647,3.795256376,30
42,2.536028162,0.34902817,0.573633492,0.190703452,0.948038161,3.752989769,30
43,2.524649501,0.350880265,0.576984406,0.191551805,0.949098647,3.669176817,30
44,2.520062253,0.351843089,0.572575033,0.192682937,0.945917308,3.746891737,30
45,2.477728412,0.351242185,0.5756495,0.191445753,0.945917308,3.724021912,30
46,2.480779395,0.350387126,0.579595149,0.191975981,0.946977735,3.77534008,30
47,2.443413302,0.350346297,0.578532994,0.192400143,0.941675484,3.810299635,30
48,2.444519892,0.35231033,0.583144367,0.193460599,0.945917308,3.729223013,30
49,2.428030863,0.354362935,0.589258194,0.193849415,0.948038161,3.746731997,30
50,2.407711118,0.351665258,0.581176043,0.194945216,0.943796396,3.723760843,30
51,2.422556549,0.353655517,0.583389163,0.19519265,0.943796396,3.650785208,30
52,2.393426552,0.356352419,0.590804636,0.196429834,0.950159073,3.693116665,30
53,2.367392942,0.356388927,0.590163767,0.196641937,0.948038161,3.685588121,30
54,2.338583261,0.355232984,0.584667504,0.196429834,0.946977735,3.692404032,30
55,2.330655441,0.35642609,0.592591941,0.196465194,0.950159073,3.621311188,30
56,2.326420173,0.358109415,0.592064619,0.19784376,0.952279985,3.638266802,30
57,2.314131349,0.355349392,0.591462195,0.197207496,0.946977735,3.756773472,30
58,2.301288962,0.356618464,0.594287992,0.198197275,0.948038161,3.727202892,30
59,2.289893106,0.359205186,0.596573949,0.198550731,0.951219499,3.700089216,30
60,2.26542908,0.358599275,0.594695449,0.199363753,0.950159073,3.708818674,30
61,2.267364025,0.360465318,0.597385168,0.198762834,0.954400837,3.697216034,30
62,2.24967882,0.361804247,0.599655449,0.199717224,0.955461323,3.62667799,30
63,2.239422679,0.362054676,0.598067343,0.200424165,0.954400837,3.674544334,30
64,2.233748734,0.362815797,0.599900723,0.200919062,0.953340411,3.716910839,30
65,2.230775535,0.359432012,0.601290941,0.199858621,0.950159073,3.64250803,30
66,2.227216899,0.364861041,0.600204885,0.200883701,0.954400837,3.780268908,30
67,2.19571656,0.361961246,0.603414237,0.201060429,0.954400837,3.708677292,30
68,2.193825662,0.363194257,0.602388799,0.201484621,0.954400837,3.719052315,30
69,2.188613713,0.364796937,0.600673974,0.201272532,0.954400837,3.656246901,30
70,2.194221243,0.363434643,0.603288949,0.202120885,0.953340411,3.646143436,30
71,2.18044734,0.366586089,0.605531216,0.203004599,0.956521749,3.688698053,30
72,2.154370323,0.364764422,0.602137268,0.202580422,0.953340411,3.66808176,30
73,2.152774855,0.363780975,0.608954549,0.201979488,0.953340411,3.679172277,30
74,2.134060591,0.36602968,0.600636482,0.203075305,0.952279985,3.701998234,30
75,2.135852501,0.365591019,0.60943085,0.202933937,0.951219499,3.717736721,30
76,2.127384022,0.365869433,0.607663333,0.203676209,0.954400837,3.690029383,30
