Epoch,loss,recall,ndcg,Training Time,k
44,22.96460791,0.328084588,0.657048941,12.54799509,20
45,22.34495781,0.328506917,0.656111658,12.68038869,20
46,22.21818706,0.330506057,0.657349169,12.74159908,20
47,22.41633897,0.331330985,0.658765852,12.60854983,20
48,21.95657407,0.332850456,0.659896135,13.00879836,20
49,21.98594435,0.333748281,0.662165701,12.80025792,20
50,21.95766735,0.335858524,0.662724257,12.79207969,20
51,21.09301969,0.336316884,0.665679693,12.61878014,20
52,21.40446589,0.334447384,0.667392194,12.56623387,20
53,20.95587203,0.337211192,0.665381432,12.67393947,20
54,20.66547132,0.337473392,0.664845705,12.66611433,20
55,20.53882425,0.336283535,0.666458845,12.73532891,20
56,20.41211309,0.337357342,0.666525006,13.22733331,20
57,20.35491269,0.335997611,0.669010937,12.91010737,20
58,19.95952696,0.335177183,0.667066813,12.82041717,20
59,19.65144666,0.337431729,0.667750418,12.62173009,20
0,88.27924949,0.142538249,0.322780758,20.08050632,30
1,61.81668225,0.199608728,0.384923071,20.07764363,30
2,54.82227662,0.25094977,0.432843566,20.65407443,30
3,50.73730069,0.275689334,0.487964511,19.85625815,30
4,47.16914988,0.305225551,0.520588756,19.92462635,30
5,44.80718535,0.302883953,0.515308142,19.86179852,30
6,42.88618979,0.321931928,0.535426438,20.11415482,30
7,41.72729416,0.32425338,0.558374345,20.44719863,30
8,40.62506384,0.332024574,0.560629308,19.44786739,30
9,39.08917992,0.335945666,0.563820302,19.54829979,30
10,38.8282458,0.338478684,0.578290284,19.4845171,30
11,37.68733388,0.34052071,0.576562881,19.36547112,30
12,36.55773252,0.347362101,0.586038888,19.33305454,30
13,35.9775003,0.35214594,0.591430902,19.16563988,30
14,35.10436562,0.355092049,0.59739989,19.58996773,30
15,34.43715067,0.355442852,0.60350889,19.57772851,30
16,33.99883582,0.354194403,0.602594852,19.63223481,30
17,33.02128187,0.361788273,0.609522283,20.25385547,30
18,32.37426771,0.36217621,0.612000585,22.11100197,30
19,31.52982289,0.364678979,0.615868926,21.93563819,30
20,31.05279014,0.366803318,0.616198599,21.58886266,30
21,30.59294498,0.36839354,0.615246236,21.66500306,30
22,29.97345969,0.368512273,0.617943823,22.67438245,30
23,29.50421229,0.374263674,0.620227814,21.42720413,30
24,29.06775641,0.37518692,0.620597899,11.28527164,30
25,28.49580331,0.376216561,0.622044683,10.04584384,30
26,28.54846205,0.37718755,0.622315705,9.928180933,30
27,28.45330855,0.378543913,0.623960555,10.34713554,30
28,27.87210201,0.379355788,0.626612663,10.15756774,30
29,27.19137643,0.378687024,0.623140275,10.16578555,30
30,26.97218074,0.38152656,0.626548171,10.37821007,30
31,26.9314333,0.383633822,0.626765907,10.49631882,30
32,26.74416292,0.384762228,0.625752568,10.50271297,30
33,26.54446688,0.384359926,0.628831983,11.36599708,30
34,26.19066628,0.383893669,0.629581332,11.92620611,30
35,26.09860006,0.387024522,0.630522251,12.750947,30
36,25.57909243,0.386334449,0.63121146,12.73361158,30
37,25.24638175,0.388018548,0.632350147,12.90129519,30
38,25.0114239,0.389680117,0.629819512,12.92741847,30
39,24.75494597,0.386563092,0.629169226,13.29989076,30
40,24.82310798,0.388676316,0.632798612,12.49641967,30
41,24.55986006,0.389230132,0.632975101,11.30774426,30
42,24.27391792,0.393931448,0.630863607,12.4052701,30
43,24.26457071,0.391961247,0.6332165,11.92817307,30
44,23.98802746,0.390929699,0.634550333,12.08609915,30
45,23.47160028,0.392918259,0.63375169,11.43441105,30
46,23.27469536,0.393081307,0.632133007,11.61788726,30
47,23.14540083,0.394333988,0.635352135,14.38084745,30
48,23.01349009,0.398909062,0.636761963,20.453233,30
49,22.96573279,0.39806807,0.636796415,17.88750505,30
50,22.85216969,0.399945825,0.636966705,20.76399851,30
51,22.39305472,0.400766194,0.6386711,19.6294868,30
52,22.25223293,0.39920494,0.638950109,16.22218847,30
53,22.34911517,0.400699019,0.639861763,18.59220123,30
54,21.86312157,0.400556505,0.640140593,19.17660379,30
55,21.66240766,0.399674505,0.639391363,19.39637971,30
56,22.00448639,0.400776684,0.641427994,20.37723064,30
57,21.52366823,0.40404287,0.64226675,16.45751047,30
58,21.51198749,0.404268861,0.644492984,17.10687828,30
59,21.26866758,0.402762294,0.644726992,16.76881552,30
60,20.92276344,0.403999984,0.643900394,17.48013091,30
61,20.63396187,0.407408416,0.645346284,14.52963948,30
62,20.38325476,0.406140298,0.647827268,14.47704911,30
63,20.27648141,0.407926738,0.647248507,14.0867157,30
64,19.98098126,0.409808993,0.649944127,14.85868955,30
65,19.78825429,0.409215927,0.649471045,14.89371133,30
66,19.5330007,0.410464197,0.651447117,16.78613544,30
67,19.09805703,0.410326093,0.653366387,14.39946675,30
68,19.27463213,0.413686603,0.65194726,14.6534214,30
69,19.05714956,0.414352089,0.654030442,14.30937433,30
70,18.6670223,0.41342631,0.654699802,17.8590095,30
71,18.77559141,0.417275131,0.657327771,19.2512362,30
72,18.4643641,0.417267621,0.654726624,14.70370531,30
73,18.03134435,0.416984946,0.655572891,12.96048379,30
74,18.16202912,0.416974843,0.658236504,12.42076254,30
75,17.79086044,0.414526224,0.656798482,13.37746882,30
76,17.45802785,0.418209642,0.659324467,12.96718931,30
77,17.40413604,0.415915579,0.658139408,12.65973616,30
78,17.41220786,0.418881536,0.659268856,12.7035327,30
79,17.38970579,0.416640878,0.661467195,12.77570677,30
80,17.16626646,0.418454498,0.662070215,13.96365285,30
81,17.0079032,0.419494629,0.66399771,15.15295029,30
82,16.62334869,0.420413375,0.666254163,13.72429252,30
83,16.589155,0.422732562,0.663973093,15.76137352,30
84,16.49495918,0.422866017,0.661776185,16.26524138,30
85,16.19143213,0.423487008,0.664253712,14.71044922,30
86,16.33151788,0.423067242,0.663372934,13.94626403,30
87,16.02886438,0.423066854,0.665085554,13.87449908,30
88,16.22591475,0.423769474,0.664806426,14.05848527,30
89,15.72456379,0.423302263,0.663355827,14.10165977,30
90,15.57643344,0.424689382,0.665203035,14.1851449,30
91,15.12921252,0.424311876,0.668015897,13.795784,30
92,15.31276078,0.425634176,0.669922411,13.81546474,30
93,14.95013379,0.424808741,0.668670714,14.3021841,30
94,14.92900408,0.423576415,0.666517138,14.22530532,30
95,14.74532769,0.42695114,0.668322325,14.13994551,30
96,14.52146587,0.427182645,0.667496145,14.2908082,30
97,14.48547825,0.428192824,0.66722846,14.01941061,30
98,14.31561594,0.428589553,0.666924834,14.22379446,30
99,14.64281599,0.428420544,0.668048799,13.58074021,30
100,14.25128644,0.428845495,0.666591406,14.2525692,30
101,13.84673554,0.427552879,0.666689157,14.10539722,30
102,14.17850617,0.427557021,0.666109622,14.03961229,30
103,13.83850769,0.427622259,0.666501701,14.10425162,30
104,13.90560167,0.429988533,0.665705085,14.792063,30
105,13.72638482,0.428953439,0.664030612,13.79015446,30
106,13.62471921,0.428208828,0.662621498,13.52908111,30
107,13.45396588,0.427619189,0.664594769,14.29397988,30
108,13.36927241,0.428017199,0.66722095,13.8516767,30
109,13.20683722,0.428754807,0.667957187,14.08146191,30
