Epoch,Loss,Recall,NDCG,Precision,Hit Ratio,Training Time,batch size,lr
47,37.6162146,0.277483106,0.592516899,0.217974558,0.928950131,14.4767158,512,0.0001
48,37.44433427,0.278776944,0.59458065,0.219724298,0.924708366,14.16610336,512,0.0001
49,36.92051347,0.279664427,0.596573114,0.220678687,0.925768852,14.22095919,512,0.0001
50,37.25279728,0.280637026,0.597938061,0.221739113,0.924708366,13.43007255,512,0.0001
51,37.15361723,0.281582057,0.59949857,0.222534478,0.927889705,13.85992384,512,0.0001
52,36.75029959,0.283608496,0.601531386,0.224708378,0.931071043,14.58398438,512,0.0001
53,36.64341997,0.284168839,0.603274167,0.225768819,0.931071043,13.93172836,512,0.0001
54,36.33985558,0.285977542,0.606151342,0.227041364,0.932131469,14.68668938,512,0.0001
55,36.51852503,0.285886377,0.605338514,0.227094367,0.931071043,14.00653148,512,0.0001
56,36.24198182,0.287098706,0.607622564,0.228578985,0.932131469,14.81038046,512,0.0001
57,36.38059388,0.288660109,0.608563364,0.228897139,0.932131469,13.72827768,512,0.0001
58,35.87173064,0.289485574,0.608810127,0.23043479,0.933191955,14.40029716,512,0.0001
59,35.4136519,0.290755361,0.61055702,0.230912,0.936373293,15.18292546,512,0.0001
60,35.48642221,0.291790307,0.610572159,0.232343584,0.936373293,15.58328819,512,0.0001
61,35.19578283,0.293608576,0.61176461,0.233510077,0.935312808,13.74000502,512,0.0001
62,34.78615496,0.292990059,0.612310469,0.234358415,0.936373293,13.94899511,512,0.0001
63,35.05635786,0.294450402,0.613923669,0.235312864,0.93743372,14.02448344,512,0.0001
64,34.99565773,0.295202792,0.614478111,0.235790029,0.936373293,15.21529579,512,0.0001
65,34.63047145,0.294506848,0.61536324,0.234994695,0.93743372,13.91477609,512,0.0001
66,34.76009254,0.295339823,0.617688835,0.236267239,0.936373293,13.68753362,512,0.0001
67,34.30176701,0.294896603,0.619791746,0.236585379,0.93743372,14.58398533,512,0.0001
68,34.48194416,0.295457572,0.62096417,0.236744419,0.938494146,13.96164823,512,0.0001
69,34.13778928,0.296016395,0.624795079,0.237274662,0.939554632,13.98356676,512,0.0001
70,34.06067258,0.29517296,0.624182701,0.237380683,0.93743372,14.42939782,512,0.0001
71,33.86025578,0.295980722,0.623885632,0.237433732,0.938494146,13.98459077,512,0.0001
72,33.65472402,0.296546936,0.623934567,0.238600209,0.935312808,14.18904185,512,0.0001
73,33.63575573,0.296139717,0.624578238,0.238547191,0.93743372,14.95798349,512,0.0001
74,33.54045683,0.298186451,0.626623631,0.239077404,0.938494146,14.81539273,512,0.0001
75,33.33740166,0.29900068,0.627657712,0.239819735,0.938494146,13.71032166,512,0.0001
76,33.09105866,0.299191445,0.627987683,0.239395544,0.940615058,13.4400456,512,0.0001
77,33.25415197,0.299186081,0.62905705,0.239819735,0.939554632,14.66476917,512,0.0001
78,32.92449519,0.298444152,0.627797842,0.240031809,0.93743372,14.19699287,512,0.0001
79,33.16382816,0.299500555,0.628683865,0.24029693,0.940615058,13.95965385,512,0.0001
80,32.38152173,0.299377978,0.629737854,0.24077411,0.939554632,14.03348875,512,0.0001
81,32.7247691,0.299735039,0.630579054,0.240668073,0.940615058,14.70964909,512,0.0001
82,32.64194058,0.300573319,0.632220268,0.24109225,0.940615058,14.23193145,512,0.0001
83,32.258843,0.300852448,0.63065654,0.241039217,0.93743372,13.79110694,512,0.0001
84,32.52361757,0.300961673,0.631480098,0.241834596,0.939554632,13.93571806,512,0.0001
85,32.36242631,0.301580459,0.631183982,0.242152706,0.938494146,14.24389482,512,0.0001
86,31.9268911,0.301468551,0.630405307,0.241834581,0.93743372,14.30173922,512,0.0001
87,31.96768929,0.301398277,0.630672157,0.241463423,0.93743372,13.86291337,512,0.0001
88,31.59490483,0.301475495,0.630304992,0.24141039,0.936373293,14.30174017,512,0.0001
89,31.55538946,0.304447383,0.632314086,0.243372217,0.940615058,14.07833815,512,0.0001
90,31.38236694,0.303839058,0.631830812,0.243160114,0.939554632,14.74555254,512,0.0001
91,31.50864235,0.304112196,0.632526278,0.243213147,0.94273597,13.88186336,512,0.0001
92,31.36290088,0.303877681,0.632161915,0.243213162,0.940615058,14.05440235,512,0.0001
93,31.01160993,0.303402722,0.632509172,0.242842004,0.941675484,14.43338919,512,0.0001
94,30.77060838,0.304532379,0.633496821,0.243531287,0.941675484,14.84728026,512,0.0001
95,30.82318789,0.303951472,0.63327527,0.243690357,0.940615058,13.88186359,512,0.0001
96,30.96483137,0.304664463,0.634505749,0.244273603,0.94273597,13.80307603,512,0.0001
97,30.81569362,0.304259419,0.633237779,0.244326621,0.940615058,13.96763563,512,0.0001
98,30.53706627,0.305143744,0.632958114,0.244591743,0.93743372,14.59695101,512,0.0001
99,30.36591253,0.304807723,0.633313119,0.244644746,0.938494146,14.12222576,512,0.0001
100,30.62621833,0.304850399,0.63489598,0.244803801,0.940615058,14.0225029,512,0.0001
101,30.57357295,0.306110382,0.634941101,0.245387077,0.940615058,14.28526807,512,0.0001
102,30.20843029,0.304744035,0.633961618,0.245015889,0.938494146,14.0184989,512,0.0001
103,29.92554885,0.306068838,0.633880973,0.245227993,0.939554632,14.34462833,512,0.0001
104,30.23279011,0.305879802,0.636191547,0.245174989,0.940615058,12.87558842,512,0.0001
105,29.86837637,0.306049496,0.636028767,0.245227993,0.940615058,12.21133518,512,0.0001
106,29.62035741,0.303981602,0.634309173,0.244008467,0.938494146,12.06272769,512,0.0001
0,85.60951933,0.089089386,0.29236275,0.090031825,0.646871686,11.57219934,512,0.0005
1,58.73201746,0.133269578,0.351405293,0.102969244,0.757157981,11.23562932,512,0.0005
2,50.22232622,0.166187108,0.411557198,0.125556737,0.798515379,10.9402647,512,0.0005
3,46.92708832,0.197710589,0.459261268,0.152439028,0.835630953,11.14713907,512,0.0005
4,44.89645189,0.218488768,0.498836696,0.169830337,0.868504763,11.30640101,512,0.0005
5,43.21877655,0.240249068,0.528614581,0.186373278,0.881230116,11.08831573,512,0.0005
6,41.44243582,0.254408509,0.554975271,0.200212076,0.903499484,11.24220991,512,0.0005
7,40.24409297,0.262439191,0.567724407,0.205991521,0.905620337,10.84030294,512,0.0005
8,38.83720933,0.266280085,0.578837991,0.211452797,0.913043499,10.94027615,512,0.0005
9,37.82510099,0.271064371,0.585015535,0.216808066,0.915164351,10.88030744,512,0.0005
10,36.40002231,0.275461048,0.596332252,0.221580058,0.919406176,10.89704919,512,0.0005
11,35.690174,0.280252934,0.6018188,0.22465536,0.928950131,11.11363888,512,0.0005
12,34.67242996,0.283635795,0.604572296,0.229798496,0.925768852,11.4735949,512,0.0005
13,33.9891924,0.288988382,0.609954417,0.232714757,0.924708366,11.46041679,512,0.0005
14,33.3625783,0.291092783,0.615831435,0.235259816,0.928950131,11.0789566,512,0.0005
15,32.53864709,0.292935491,0.613277316,0.236161187,0.926829278,10.9431119,512,0.0005
16,31.63653812,0.291932315,0.617770135,0.23700954,0.926829278,11.07579422,512,0.0005
17,31.29425114,0.298551887,0.620011449,0.240190879,0.931071043,11.55052376,512,0.0005
18,30.73270318,0.298122287,0.623407066,0.23966065,0.931071043,10.94493723,512,0.0005
19,30.35877053,0.299625963,0.623280287,0.241357356,0.931071043,10.87999725,512,0.0005
20,30.28716122,0.301005125,0.627494633,0.24141039,0.932131469,11.05699277,512,0.0005
21,29.3462325,0.300159365,0.628500044,0.240986213,0.935312808,10.95703006,512,0.0005
22,28.95987938,0.301532507,0.629732788,0.241728529,0.934252381,11.2237494,512,0.0005
23,28.38306305,0.302850962,0.63203907,0.243637338,0.930010617,11.04924703,512,0.0005
24,28.16519114,0.30297035,0.631583333,0.244591728,0.927889705,10.87670803,512,0.0005
25,28.00344254,0.302321792,0.632528901,0.243584305,0.930010617,11.10730505,512,0.0005
26,27.49761711,0.304112434,0.632499278,0.244114518,0.930010617,11.89481664,512,0.0005
27,27.41738532,0.303941131,0.635330677,0.244644746,0.933191955,11.06484842,512,0.0005
28,27.02799565,0.305655092,0.634535313,0.24591729,0.932131469,13.11029816,512,0.0005
29,26.4859778,0.30711183,0.636441588,0.246500522,0.935312808,12.51341057,512,0.0005
30,26.20984583,0.308367193,0.636027694,0.247879088,0.93743372,13.04200029,512,0.0005
31,26.26169132,0.309340805,0.633702993,0.247295856,0.939554632,13.9513793,512,0.0005
32,26.04475982,0.312084287,0.634549201,0.248621419,0.941675484,12.70463252,512,0.0005
33,25.59185383,0.31250003,0.639216959,0.251060456,0.94273597,13.49707651,512,0.0005
34,25.07370179,0.314375967,0.640688539,0.251484632,0.944856822,14.07995152,512,0.0005
35,24.83669196,0.313208729,0.640828729,0.251802742,0.940615058,13.41883492,512,0.0005
36,24.69025841,0.31646347,0.641618788,0.253499478,0.941675484,14.11845517,512,0.0005
37,24.50339335,0.318437785,0.645381629,0.2559385,0.941675484,14.84555936,512,0.0005
38,24.21628314,0.320086956,0.647959232,0.25689292,0.94273597,14.33709002,512,0.0005
39,24.19279813,0.321031362,0.649913967,0.25625661,0.944856822,13.97429705,512,0.0005
40,23.66011206,0.321703941,0.651499271,0.257953316,0.943796396,13.97123957,512,0.0005
41,23.5214606,0.324221015,0.655431747,0.260604441,0.946977735,14.61552691,512,0.0005
42,23.17505298,0.327715099,0.656590164,0.262036055,0.949098647,14.16059327,512,0.0005
43,22.98562238,0.327955663,0.658472896,0.262301147,0.948038161,13.99462652,512,0.0005
44,22.4041129,0.32638073,0.658173442,0.262778372,0.943796396,14.26252747,512,0.0005
45,22.32034229,0.328764111,0.657869041,0.263732761,0.945917308,14.57202101,512,0.0005
46,22.07670031,0.335749805,0.661434412,0.267126173,0.951219499,13.93530798,512,0.0005
47,21.78966371,0.334188879,0.663821578,0.266861081,0.952279985,13.80768371,512,0.0005
48,21.76444382,0.336912036,0.665721536,0.268610805,0.953340411,14.30039787,512,0.0005
49,21.73099885,0.333287299,0.664505541,0.267179221,0.953340411,13.83696008,512,0.0005
50,21.26690382,0.337795317,0.662449419,0.268928945,0.952279985,13.92725921,512,0.0005
51,21.20266606,0.337184459,0.666107059,0.268610835,0.952279985,12.41146231,512,0.0005
52,20.95785062,0.338811398,0.667796016,0.268610805,0.956521749,12.18022656,512,0.0005
53,20.80508214,0.338692755,0.668281615,0.269194067,0.954400837,12.29937911,512,0.0005
54,20.9682553,0.338195682,0.668463886,0.26845172,0.952279985,12.64171433,512,0.0005
55,20.26494211,0.337619305,0.669254065,0.267974555,0.953340411,12.79787207,512,0.0005
56,20.11916426,0.339274347,0.66821456,0.268398732,0.951219499,12.76340961,512,0.0005
57,20.39811642,0.336561739,0.669229865,0.268663853,0.950159073,13.03580117,512,0.0005
58,19.54245513,0.340074837,0.67115438,0.270095438,0.953340411,12.67410183,512,0.0005
59,19.38582149,0.340568364,0.669806063,0.272322357,0.950159073,13.20776963,512,0.0005
60,19.78037132,0.341764718,0.669017315,0.272322357,0.948038161,12.82760406,512,0.0005
61,19.60572734,0.339835942,0.673817813,0.27221635,0.948038161,14.0834825,512,0.0005
62,19.18525899,0.340864539,0.67630291,0.272799581,0.952279985,14.2502315,512,0.0005
63,19.04616755,0.339745492,0.67459172,0.27189818,0.946977735,17.32215238,512,0.0005
64,19.16282064,0.338015497,0.675749779,0.271314949,0.954400837,16.97147059,512,0.0005
65,18.73502233,0.340629905,0.676630616,0.27253446,0.955461323,17.17925739,512,0.0005
0,75.87259725,0.118698202,0.316852957,0.099257685,0.691410363,9.621262074,512,0.001
1,51.34469542,0.196455374,0.444395602,0.138441145,0.837751865,9.517539501,512,0.001
2,45.08053297,0.227457911,0.510568142,0.162354201,0.874867439,10.12292194,512,0.001
3,41.6861116,0.248079926,0.549858928,0.183085889,0.893955469,9.976313353,512,0.001
4,39.57718205,0.256855816,0.565481365,0.197507963,0.897136807,10.17175579,512,0.001
5,37.71693005,0.262701035,0.572779298,0.204984114,0.908801675,10.23562169,512,0.001
6,36.39997499,0.268530875,0.58515662,0.213361621,0.914103925,10.33236122,512,0.001
7,34.76194347,0.274805486,0.589344203,0.218610823,0.917285264,10.38721156,512,0.001
8,33.41339183,0.286433876,0.604081273,0.229957595,0.927889705,10.81004763,512,0.001
9,32.48342593,0.28744486,0.609561026,0.232396603,0.930010617,10.28548479,512,0.001
10,30.90490313,0.290178239,0.60929209,0.233987272,0.932131469,10.63355613,512,0.001
11,30.0256519,0.295462906,0.617370307,0.237751871,0.930010617,10.64751554,512,0.001
